date,slot,JEPX_prediction,JEPX_actual,EPRX1_prediction,EPRX3_prediction,EPRX1_actual,EPRX3_actual,imbalance
2023/4/6,42,12.04,9.94,0,0,0,0,9.94
2023/4/6,43,11.16,10.31,0,0,0,0,10.31
2023/4/6,44,10.75,10.31,0,0,0,0,10.31
2023/4/6,45,10.89,9.4,0,0,0,0,9.4
2023/4/6,46,10.42,9.4,0,0,0,0,9.4
2023/4/6,47,9.36,9.4,0,0,0,0,9.4
2023/4/6,48,8.97,9.39,0,0,0,0,9.39
2023/4/7,1,9.05,8,0,0,0,0,8
2023/4/7,2,9.04,8.5,0,0,0,0,8.5
2023/4/7,3,9.12,10.05,0,0,0,0,10.05
2023/4/7,4,9.77,10.2,0,0,0,0,10.2
2023/4/7,5,9.63,10.13,0,0,0,0,10.13
2023/4/7,6,12.08,13,0,0,0,0,13
2023/4/7,7,12.44,12.63,0,0,0,0,12.63
2023/4/7,8,11.06,13.44,0,0,0,0,13.44
2023/4/7,9,12.54,13.19,0,0,0,0,13.19
2023/4/7,10,12.29,12.69,0,0,0,0,12.69
2023/4/7,11,11.65,12,0,0,0,0,12
2023/4/7,12,10.67,11.26,0,0,0,0,11.26
2023/4/7,13,11.77,12.13,0,0,0,0,12.13
2023/4/7,14,12.48,13,0,0,0,0,13
2023/4/7,15,10.36,11.45,0,0,0,0,11.45
2023/4/7,16,12.42,13,0,0,0,0,13
2023/4/7,17,11.14,11.96,0,0,0,0,11.96
2023/4/7,18,9.4,11.34,0,0,0,0,11.34
2023/4/7,19,11.13,14.79,0,0,0,0,14.79
2023/4/7,20,11.75,14.72,0,0,0,0,14.72
2023/4/7,21,11.88,11.09,0,0,0,0,11.09
2023/4/7,22,9.67,10.64,0,0,0,0,10.64
2023/4/7,23,10.56,10.48,0,0,0,0,10.48
2023/4/7,24,10.31,10.04,0,0,0,0,10.04
2023/4/7,25,3.05,0.5,0,0,0,0,0.5
2023/4/7,26,2.98,0.01,0,0,0,0,0.01
2023/4/7,27,2.85,0.01,0,0,0,0,0.01
2023/4/7,28,3.29,0.01,0,0,0,0,0.01
2023/4/7,29,3.08,0.01,0,0,0,0,0.01
2023/4/7,30,3.45,0.01,0,0,0,0,0.01
2023/4/7,31,3.85,0.01,0,0,0,0,0.01
2023/4/7,32,0.68,0.01,0,0,0,0,0.01
2023/4/7,33,1.57,0.02,0,0,0,0,0.02
2023/4/7,34,6.01,5.01,0,0,0,0,5.01
2023/4/7,35,10.55,9.5,0,0,0,0,9.5
2023/4/7,36,11.85,13.95,0,0,0,0,13.95
2023/4/7,37,14.48,14.72,0,0,0,0,14.72
2023/4/7,38,14.73,14.79,0,0,0,0,14.79
2023/4/7,39,15.59,15,0,0,0,0,15
2023/4/7,40,13.18,14.23,0,0,0,0,14.23
2023/4/7,41,13.16,13.95,0,0,0,0,13.95
2023/4/7,42,13.32,13.02,0,0,0,0,13.02
2023/4/7,43,13.28,13.22,0,0,0,0,13.22
2023/4/7,44,11.55,11.25,0,0,0,0,11.25
2023/4/7,45,11.47,13.26,0,0,0,0,13.26
2023/4/7,46,12.12,13.45,0,0,0,0,13.45
2023/4/7,47,12.7,13.43,0,0,0,0,13.43
2023/4/7,48,10.47,10.19,0,0,0,0,10.19
2023/4/8,1,10.12,10.2,0,0,0,0,10.2
2023/4/8,2,9.94,10.2,0,0,0,0,10.2
2023/4/8,3,9.11,10.07,0,0,0,0,10.07
2023/4/8,4,9.83,10.2,0,0,0,0,10.2
2023/4/8,5,11.79,10.81,0,0,0,0,10.81
2023/4/8,6,10.56,11.35,0,0,0,0,11.35
2023/4/8,7,12.05,13,0,0,0,0,13
2023/4/8,8,11.03,13.4,0,0,0,0,13.4
2023/4/8,9,14.09,13.99,0,0,0,0,13.99
2023/4/8,10,13.94,13.99,0,0,0,0,13.99
2023/4/8,11,11.78,13,0,0,0,0,13
2023/4/8,12,8.57,8,0,0,0,0,8
2023/4/8,13,8.4,7,0,0,0,0,7
2023/4/8,14,5.24,3,0,0,0,0,3
2023/4/8,15,2.63,0.01,0,0,0,0,0.01
2023/4/8,16,2.3,0.01,0,0,0,0,0.01
2023/4/8,17,2.24,0.01,0,0,0,0,0.01
2023/4/8,18,3.25,0.01,0,0,0,0,0.01
2023/4/8,19,3.09,0.01,0,0,0,0,0.01
2023/4/8,20,2.98,0.01,0,0,0,0,0.01
2023/4/8,21,2.42,0.01,0,0,0,0,0.01
2023/4/8,22,2.57,0.01,0,0,0,0,0.01
2023/4/8,23,2.83,0.01,0,0,0,0,0.01
2023/4/8,24,2.92,0.01,0,0,0,0,0.01
2023/4/8,25,2.47,0.01,0,0,0,0,0.01
2023/4/8,26,2.32,0.01,0,0,0,0,0.01
2023/4/8,27,2.27,0.01,0,0,0,0,0.01
2023/4/8,28,2.32,0.01,0,0,0,0,0.01
2023/4/8,29,3.18,0.01,0,0,0,0,0.01
2023/4/8,30,2.18,0.01,0,0,0,0,0.01
2023/4/8,31,2.37,0.01,0,0,0,0,0.01
2023/4/8,32,0.92,0.01,0,0,0,0,0.01
2023/4/8,33,1.3,0.01,0,0,0,0,0.01
2023/4/8,34,1.83,0.01,0,0,0,0,0.01
2023/4/8,35,6.74,7,0,0,0,0,7
2023/4/8,36,12.3,14.01,0,0,0,0,14.01
2023/4/8,37,13.61,16,0,0,0,0,16
2023/4/8,38,15.1,17.05,0,0,0,0,17.05
2023/4/8,39,13.26,16,0,0,0,0,16
2023/4/8,40,12.73,16.04,0,0,0,0,16.04
2023/4/8,41,14.13,16.71,0,0,0,0,16.71
2023/4/8,42,15.05,16.48,0,0,0,0,16.48
2023/4/8,43,12.4,14.01,0,0,0,0,14.01
2023/4/8,44,12.47,14,0,0,0,0,14
2023/4/8,45,12.68,13.81,0,0,0,0,13.81
2023/4/8,46,11.42,12.42,0,0,0,0,12.42
2023/4/8,47,11,11.47,0,0,0,0,11.47
2023/4/8,48,10.85,10.71,0,0,0,0,10.71
2023/4/9,1,9.77,11.33,0,0,0,0,11.33
2023/4/9,2,9.86,11.21,0,0,0,0,11.21
2023/4/9,3,10.66,11.07,0,0,0,0,11.07
2023/4/9,4,10.28,10.55,0,0,0,0,10.55
2023/4/9,5,12.13,10.75,0,0,0,0,10.75
2023/4/9,6,11.77,10.96,0,0,0,0,10.96
2023/4/9,7,11.34,13.7,0,0,0,0,13.7
2023/4/9,8,15.72,15,0,0,0,0,15
2023/4/9,9,15.77,15,0,0,0,0,15
2023/4/9,10,14.81,16.26,0,0,0,0,16.26
2023/4/9,11,11.91,13.99,0,0,0,0,13.99
2023/4/9,12,11.59,13.7,0,0,0,0,13.7
2023/4/9,13,11.06,10,0,0,0,0,10
2023/4/9,14,6.83,1,0,0,0,0,1
2023/4/9,15,1.94,0.01,0,0,0,0,0.01
2023/4/9,16,1.47,0.01,0,0,0,0,0.01
2023/4/9,17,2.38,0.01,0,0,0,0,0.01
2023/4/9,18,1.86,0.01,0,0,0,0,0.01
2023/4/9,19,1.54,0.01,0,0,0,0,0.01
2023/4/9,20,1.65,0.01,0,0,0,0,0.01
2023/4/9,21,1.17,0.01,0,0,0,0,0.01
2023/4/9,22,1.95,0.01,0,0,0,0,0.01
